H1000001BIN FILE20150219142800R04000000606
D1000035363999              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000036364170              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000037364171              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000038364172              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000039364173              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000040364190              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000041364234              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000042364261              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000043364444              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000044364522              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000045364700              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000046364701              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000047364702              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000048364703              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000049364716              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000050364717              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000051364719              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000052365001              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000053365023              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000054365025              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000055365026              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000056365147              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000057365166              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000058365167              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000059365168              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000060365169              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000061365181              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000062365253              16A00000000DICCDAF10000000000DINNERS CB COMI030000
D1000063365256              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000064365420              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000065365421              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000066365422              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000067365423              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000068365424              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000069365425              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000070365426              16A00000000DICCDAF10000000000DINNERS        030000
D1000071365427              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000072365428              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000073365429              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000074365452              16A00000000DICCDAF10000000000DINNERS        030000
D1000075365453              16A00000000DICCDAF10000000000DINN CLUB UNIV 030000
D1000076365453              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000077365454              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000078367091              16A00000000DICCDAF10000000000DINNERS        030000
D1000079367092              16A00000000DICCDAF10000000000DIN ONE PRE INT030000
D1000080369422              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000081369423              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000082369696              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000083369697              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000084369801              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000085369802              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000086369803              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
